Data,Horário,Estádio,Árbitro,Casa,GolsCasa,GolsVisitante,Visitante
14/09/2019,20:45,GIUSEPPE MEAZZA (Milano),MAURIZIO MARIANI,Inter,1,0,Udinese
15/09/2019,12:30,LUIGI FERRARIS (Genova),MICHAEL FABBRI,Genoa,1,2,Atalanta
15/09/2019,15:00,MARIO RIGAMONTI (Brescia),GIANLUCA ROCCHI,Brescia,3,4,Bologna
15/09/2019,15:00,ENNIO TARDINI (Parma),FABRIZIO PASQUA,Parma,1,3,Cagliari
15/09/2019,15:00,PAOLO MAZZA (Ferrara),GIANPAOLO CALVARESE,Spal,2,1,Lazio
15/09/2019,18:00,OLIMPICO (Roma),DANIELE CHIFFI,Roma,4,2,Sassuolo
15/09/2019,20:45,MARCANTONIO BENTEGODI (Verona),GIANLUCA MANGANIELLO,Hellas Verona,0,1,Milan
16/09/2019,20:45,OLIMPICO GRANDE TORINO (Torino),ANTONIO GIUA,Torino,1,2,Lecce
20/09/2019,20:45,UNIPOL DOMUS (Cagliari),GIANLUCA MANGANIELLO,Cagliari,3,1,Genoa
21/09/2019,15:00,DACIA ARENA - STADIO FRIULI (Udine),PAOLO VALERI,Udinese,0,1,Brescia
21/09/2019,18:00,ALLIANZ STADIUM (Torino),FEDERICO LA PENNA,Juventus,2,1,Hellas Verona
21/09/2019,20:45,GIUSEPPE MEAZZA (Milano),DANIELE DOVERI,Milan,0,2,Inter
22/09/2019,12:30,MAPEI STADIUM - CITTA' DEL TRICOLORE (Reggio Emilia),MAURIZIO MARIANI,Sassuolo,3,0,Spal
22/09/2019,15:00,RENATO DALL'ARA (Bologna),LUCA PAIRETTO,Bologna,1,2,Roma
22/09/2019,15:00,ETTORE GIARDINIERO - VIA DEL MARE (Lecce),MARCO PICCININI,Lecce,1,4,Napoli
22/09/2019,15:00,LUIGI FERRARIS (Genova),PIERO GIACOMELLI,Sampdoria,1,0,Torino
22/09/2019,18:00,ENNIO TARDINI (Parma),DANIELE ORSATO,Atalanta,2,2,Fiorentina
22/09/2019,20:45,OLIMPICO (Roma),ROSARIO ABISSO,Lazio,2,0,Parma
24/09/2019,19:00,MARCANTONIO BENTEGODI (Verona),DANIELE CHIFFI,Hellas Verona,0,0,Udinese
24/09/2019,21:00,MARIO RIGAMONTI (Brescia),FABRIZIO PASQUA,Brescia,1,2,Juventus
25/09/2019,19:00,OLIMPICO (Roma),MASSIMILIANO IRRATI,Roma,0,2,Atalanta
25/09/2019,21:00,ARTEMIO FRANCHI (Firenze),DANIELE DOVERI,Fiorentina,2,1,Sampdoria
25/09/2019,21:00,LUIGI FERRARIS (Genova),DAVIDE MASSA,Genoa,0,0,Bologna
25/09/2019,21:00,GIUSEPPE MEAZZA (Milano),FABIO MARESCA,Inter,1,0,Lazio
25/09/2019,21:00,SAN PAOLO (Napoli),MARCO DI BELLO,Napoli,0,1,Cagliari
25/09/2019,21:00,ENNIO TARDINI (Parma),LIVIO MARINELLI,Parma,1,0,Sassuolo
25/09/2019,21:00,PAOLO MAZZA (Ferrara),GIANLUCA ROCCHI,Spal,1,3,Lecce
26/09/2019,21:00,OLIMPICO GRANDE TORINO (Torino),MARCO GUIDA,Torino,2,1,Milan
28/09/2019,15:00,ALLIANZ STADIUM (Torino),MARCO PICCININI,Juventus,2,0,Spal
28/09/2019,18:00,LUIGI FERRARIS (Genova),GIANPAOLO CALVARESE,Sampdoria,1,3,Inter
28/09/2019,20:45,MAPEI STADIUM - CITTA' DEL TRICOLORE (Reggio Emilia),PAOLO VALERI,Sassuolo,1,4,Atalanta
29/09/2019,12:30,SAN PAOLO (Napoli),GIANLUCA MANGANIELLO,Napoli,2,1,Brescia
29/09/2019,15:00,OLIMPICO (Roma),LUCA PAIRETTO,Lazio,4,0,Genoa
29/09/2019,15:00,ETTORE GIARDINIERO - VIA DEL MARE (Lecce),ROSARIO ABISSO,Lecce,0,1,Roma
29/09/2019,15:00,DACIA ARENA - STADIO FRIULI (Udine),ANTONIO GIUA,Udinese,1,0,Bologna
29/09/2019,18:00,UNIPOL DOMUS (Cagliari),MANUEL VOLPI,Cagliari,1,1,Hellas Verona
29/09/2019,20:45,GIUSEPPE MEAZZA (Milano),PIERO GIACOMELLI,Milan,1,3,Fiorentina
30/09/2019,20:45,ENNIO TARDINI (Parma),FEDERICO LA PENNA,Parma,3,2,Torino
05/10/2019,15:00,PAOLO MAZZA (Ferrara),MARCO GUIDA,Spal,1,0,Parma
05/10/2019,18:00,MARCANTONIO BENTEGODI (Verona),MICHAEL FABBRI,Hellas Verona,2,0,Sampdoria
05/10/2019,20:45,LUIGI FERRARIS (Genova),MAURIZIO MARIANI,Genoa,1,2,Milan
06/10/2019,12:30,ARTEMIO FRANCHI (Firenze),ALESSANDRO PRONTERA,Fiorentina,1,0,Udinese
06/10/2019,15:00,GEWISS STADIUM (Bergamo),MARCO DI BELLO,Atalanta,3,1,Lecce
06/10/2019,15:00,RENATO DALL'ARA (Bologna),DANIELE ORSATO,Bologna,2,2,Lazio
06/10/2019,15:00,OLIMPICO (Roma),DAVIDE MASSA,Roma,1,1,Cagliari
06/10/2019,18:00,OLIMPICO GRANDE TORINO (Torino),DANIELE DOVERI,Torino,0,0,Napoli
06/10/2019,20:45,GIUSEPPE MEAZZA (Milano),GIANLUCA ROCCHI,Inter,1,2,Juventus
18/12/2019,20:45,MARIO RIGAMONTI (Brescia),MARCO DI BELLO,Brescia,0,2,Sassuolo
19/10/2019,15:00,OLIMPICO (Roma),GIANLUCA ROCCHI,Lazio,3,3,Atalanta
19/10/2019,18:00,SAN PAOLO (Napoli),MARCO PICCININI,Napoli,2,0,Hellas Verona
19/10/2019,20:45,ALLIANZ STADIUM (Torino),MASSIMILIANO IRRATI,Juventus,2,1,Bologna
20/10/2019,12:30,MAPEI STADIUM - CITTA' DEL TRICOLORE (Reggio Emilia),PIERO GIACOMELLI,Sassuolo,3,4,Inter
20/10/2019,15:00,UNIPOL DOMUS (Cagliari),DANIELE CHIFFI,Cagliari,2,0,Spal
20/10/2019,15:00,LUIGI FERRARIS (Genova),FABIO MARESCA,Sampdoria,0,0,Roma
20/10/2019,15:00,DACIA ARENA - STADIO FRIULI (Udine),ROSARIO ABISSO,Udinese,1,0,Torino
20/10/2019,18:00,ENNIO TARDINI (Parma),PAOLO VALERI,Parma,5,1,Genoa
20/10/2019,20:45,GIUSEPPE MEAZZA (Milano),FABRIZIO PASQUA,Milan,2,2,Lecce
21/10/2019,21:00,MARIO RIGAMONTI (Brescia),GIANPAOLO CALVARESE,Brescia,0,0,Fiorentina
25/10/2019,20:45,MARCANTONIO BENTEGODI (Verona),LUCA PAIRETTO,Hellas Verona,0,1,Sassuolo
26/10/2019,15:00,ETTORE GIARDINIERO - VIA DEL MARE (Lecce),PAOLO VALERI,Lecce,1,1,Juventus
26/10/2019,18:00,GIUSEPPE MEAZZA (Milano),DANIELE CHIFFI,Inter,2,2,Parma
26/10/2019,20:45,LUIGI FERRARIS (Genova),ROSARIO ABISSO,Genoa,3,1,Brescia
27/10/2019,12:30,RENATO DALL'ARA (Bologna),DANIELE DOVERI,Bologna,2,1,Sampdoria
27/10/2019,15:00,GEWISS STADIUM (Bergamo),FABIO MARESCA,Atalanta,7,1,Udinese
27/10/2019,15:00,PAOLO MAZZA (Ferrara),FEDERICO LA PENNA,Spal,1,1,Napoli
27/10/2019,15:00,OLIMPICO GRANDE TORINO (Torino),MICHAEL FABBRI,Torino,1,1,Cagliari
27/10/2019,18:00,OLIMPICO (Roma),DANIELE ORSATO,Roma,2,1,Milan
27/10/2019,20:45,ARTEMIO FRANCHI (Firenze),MARCO GUIDA,Fiorentina,1,2,Lazio
29/10/2019,19:00,ENNIO TARDINI (Parma),GIANLUCA MANGANIELLO,Parma,0,1,Hellas Verona
29/10/2019,21:00,MARIO RIGAMONTI (Brescia),MICHAEL FABBRI,Brescia,1,2,Inter
30/10/2019,19:00,SAN PAOLO (Napoli),PIERO GIACOMELLI,Napoli,2,2,Atalanta
30/10/2019,21:00,UNIPOL DOMUS (Cagliari),JUAN LUCA SACCHI,Cagliari,3,2,Bologna
30/10/2019,21:00,ALLIANZ STADIUM (Torino),ANTONIO GIUA,Juventus,2,1,Genoa
30/10/2019,21:00,OLIMPICO (Roma),DANIELE ORSATO,Lazio,4,0,Torino
30/10/2019,21:00,LUIGI FERRARIS (Genova),DAVIDE MASSA,Sampdoria,1,1,Lecce
30/10/2019,21:00,MAPEI STADIUM - CITTA' DEL TRICOLORE (Reggio Emilia),MAURIZIO MARIANI,Sassuolo,1,2,Fiorentina
30/10/2019,21:00,DACIA ARENA - STADIO FRIULI (Udine),MASSIMILIANO IRRATI,Udinese,0,4,Roma
31/10/2019,21:00,GIUSEPPE MEAZZA (Milano),MARCO PICCININI,Milan,1,0,Spal
02/11/2019,15:00,OLIMPICO (Roma),GIANLUCA ROCCHI,Roma,2,1,Napoli
02/11/2019,18:00,RENATO DALL'ARA (Bologna),FEDERICO LA PENNA,Bologna,1,2,Inter
02/11/2019,20:45,OLIMPICO GRANDE TORINO (Torino),DANIELE DOVERI,Torino,0,1,Juventus
03/11/2019,12:30,GEWISS STADIUM (Bergamo),ROSARIO ABISSO,Atalanta,0,2,Cagliari
03/11/2019,15:00,LUIGI FERRARIS (Genova),FABRIZIO PASQUA,Genoa,1,3,Udinese
03/11/2019,15:00,MARCANTONIO BENTEGODI (Verona),MAURIZIO MARIANI,Hellas Verona,2,1,Brescia
03/11/2019,15:00,ETTORE GIARDINIERO - VIA DEL MARE (Lecce),RICCARDO ROS,Lecce,2,2,Sassuolo
03/11/2019,18:00,ARTEMIO FRANCHI (Firenze),LUCA PAIRETTO,Fiorentina,1,1,Parma
03/11/2019,20:45,GIUSEPPE MEAZZA (Milano),GIANPAOLO CALVARESE,Milan,1,2,Lazio
04/11/2019,20:45,PAOLO MAZZA (Ferrara),DANIELE CHIFFI,Spal,0,1,Sampdoria
08/11/2019,20:45,MAPEI STADIUM - CITTA' DEL TRICOLORE (Reggio Emilia),MARCO PICCININI,Sassuolo,3,1,Bologna
09/11/2019,15:00,MARIO RIGAMONTI (Brescia),MARCO GUIDA,Brescia,0,4,Torino
09/11/2019,18:00,GIUSEPPE MEAZZA (Milano),PAOLO VALERI,Inter,2,1,Hellas Verona
09/11/2019,20:45,SAN PAOLO (Napoli),GIANPAOLO CALVARESE,Napoli,0,0,Genoa
10/11/2019,12:30,UNIPOL DOMUS (Cagliari),FEDERICO LA PENNA,Cagliari,5,2,Fiorentina
10/11/2019,15:00,OLIMPICO (Roma),GIANLUCA MANGANIELLO,Lazio,4,2,Lecce
10/11/2019,15:00,LUIGI FERRARIS (Genova),MASSIMILIANO IRRATI,Sampdoria,0,0,Atalanta
10/11/2019,15:00,DACIA ARENA - STADIO FRIULI (Udine),DAVIDE MASSA,Udinese,0,0,Spal
10/11/2019,18:00,ENNIO TARDINI (Parma),MICHAEL FABBRI,Parma,2,0,Roma
10/11/2019,20:45,ALLIANZ STADIUM (Torino),FABIO MARESCA,Juventus,1,0,Milan
23/11/2019,15:00,GEWISS STADIUM (Bergamo),GIANLUCA ROCCHI,Atalanta,1,3,Juventus
23/11/2019,18:00,GIUSEPPE MEAZZA (Milano),DANIELE ORSATO,Milan,1,1,Napoli
23/11/2019,20:45,OLIMPICO GRANDE TORINO (Torino),FABIO MARESCA,Torino,0,3,Inter
24/11/2019,12:30,RENATO DALL'ARA (Bologna),ROSARIO ABISSO,Bologna,2,2,Parma
24/11/2019,15:00,MARCANTONIO BENTEGODI (Verona),ANTONIO GIUA,Hellas Verona,1,0,Fiorentina
24/11/2019,15:00,OLIMPICO (Roma),MARCO DI BELLO,Roma,3,0,Brescia
24/11/2019,15:00,MAPEI STADIUM - CITTA' DEL TRICOLORE (Reggio Emilia),DANIELE CHIFFI,Sassuolo,1,2,Lazio
24/11/2019,18:00,LUIGI FERRARIS (Genova),LUCA PAIRETTO,Sampdoria,2,1,Udinese
25/11/2019,15:00,ETTORE GIARDINIERO - VIA DEL MARE (Lecce),MAURIZIO MARIANI,Lecce,2,2,Cagliari
25/11/2019,20:45,PAOLO MAZZA (Ferrara),PIERO GIACOMELLI,Spal,1,1,Genoa
30/11/2019,15:00,MARIO RIGAMONTI (Brescia),DANIELE DOVERI,Brescia,0,3,Atalanta
30/11/2019,18:00,LUIGI FERRARIS (Genova),DAVIDE MASSA,Genoa,0,1,Torino
30/11/2019,20:45,ARTEMIO FRANCHI (Firenze),MARCO PICCININI,Fiorentina,0,1,Lecce
01/12/2019,12:30,ALLIANZ STADIUM (Torino),FEDERICO LA PENNA,Juventus,2,2,Sassuolo
01/12/2019,15:00,GIUSEPPE MEAZZA (Milano),MASSIMILIANO IRRATI,Inter,2,1,Spal
01/12/2019,15:00,OLIMPICO (Roma),MARCO DI BELLO,Lazio,3,0,Udinese
01/12/2019,15:00,ENNIO TARDINI (Parma),PAOLO VALERI,Parma,0,1,Milan
01/12/2019,18:00,SAN PAOLO (Napoli),FABRIZIO PASQUA,Napoli,1,2,Bologna
01/12/2019,20:45,MARCANTONIO BENTEGODI (Verona),MARCO GUIDA,Hellas Verona,1,3,Roma
02/12/2019,20:45,UNIPOL DOMUS (Cagliari),GIANLUCA AURELIANO,Cagliari,4,3,Sampdoria
06/12/2019,20:45,GIUSEPPE MEAZZA (Milano),GIANPAOLO CALVARESE,Inter,0,0,Roma
07/12/2019,15:00,GEWISS STADIUM (Bergamo),PAOLO VALERI,Atalanta,3,2,Hellas Verona
07/12/2019,18:00,DACIA ARENA - STADIO FRIULI (Udine),MAURIZIO MARIANI,Udinese,1,1,Napoli
07/12/2019,20:45,OLIMPICO (Roma),MICHAEL FABBRI,Lazio,3,1,Juventus
08/12/2019,12:30,ETTORE GIARDINIERO - VIA DEL MARE (Lecce),GIANLUCA ROCCHI,Lecce,2,2,Genoa
08/12/2019,15:00,MAPEI STADIUM - CITTA' DEL TRICOLORE (Reggio Emilia),LUCA PAIRETTO,Sassuolo,2,2,Cagliari
08/12/2019,15:00,PAOLO MAZZA (Ferrara),DANIELE ORSATO,Spal,0,1,Brescia
08/12/2019,15:00,OLIMPICO GRANDE TORINO (Torino),PIERO GIACOMELLI,Torino,2,1,Fiorentina
08/12/2019,18:00,LUIGI FERRARIS (Genova),ROSARIO ABISSO,Sampdoria,0,1,Parma
08/12/2019,20:45,RENATO DALL'ARA (Bologna),DANIELE CHIFFI,Bologna,2,3,Milan
14/12/2019,15:00,MARIO RIGAMONTI (Brescia),MASSIMILIANO IRRATI,Brescia,3,0,Lecce
14/12/2019,18:30,SAN PAOLO (Napoli),MARCO DI BELLO,Napoli,1,2,Parma
14/12/2019,20:45,LUIGI FERRARIS (Genova),DANIELE DOVERI,Genoa,0,1,Sampdoria
15/12/2019,12:30,MARCANTONIO BENTEGODI (Verona),FEDERICO LA PENNA,Hellas Verona,3,3,Torino
15/12/2019,15:00,RENATO DALL'ARA (Bologna),DAVIDE MASSA,Bologna,2,1,Atalanta
15/12/2019,15:00,ALLIANZ STADIUM (Torino),FABRIZIO PASQUA,Juventus,3,1,Udinese
15/12/2019,15:00,GIUSEPPE MEAZZA (Milano),GIANLUCA MANGANIELLO,Milan,0,0,Sassuolo
15/12/2019,18:00,OLIMPICO (Roma),ANTONIO GIUA,Roma,3,1,Spal
